Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
650000,1.4475021,236.45,-0.50341165,-1.295058598242155,-1.295058598242155,1.0
660000,1.4034399,230.6086956521739,-0.44611984,-1.1585261332600012,-1.1585261332600012,1.0
670000,1.4039264,202.44,-0.51042634,-1.1654857540008974,-1.1654857540008974,1.0
680000,1.4282612,253.05,-0.4657584,-0.9783561331469838,-0.9783561331469838,1.0
690000,1.4542928,214.43478260869566,-0.39882013,-0.8336826498093812,-0.8336826498093812,1.0
700000,1.4431039,202.0204081632653,-0.40258622,-0.7092326847570283,-0.7092326847570283,1.0
710000,1.4208289,230.1860465116279,-0.41620928,-0.905990723607152,-0.905990723607152,1.0
720000,1.4870625,207.2340425531915,-0.3633678,-0.6683063798762382,-0.6683063798762382,1.0
730000,1.3821876,224.84782608695653,-0.39699385,-0.9047695997616519,-0.9047695997616519,1.0
740000,1.5464413,256.1081081081081,-0.36894,-0.9785729864159146,-0.9785729864159146,1.0
750000,1.4198197,211.08,-0.38509807,-0.8513960123062134,-0.8513960123062134,1.0
760000,1.4857079,218.32558139534885,-0.3388851,-0.8118047703589711,-0.8118047703589711,1.0
770000,1.392819,228.30434782608697,-0.34843493,-0.7793217641503914,-0.7793217641503914,1.0
780000,1.4569736,254.825,-0.34535363,-0.8773743846477606,-0.8773743846477606,1.0
790000,1.4143549,189.28,-0.3202876,-0.595573098040544,-0.595573098040544,1.0
800000,1.4087751,203.9795918367347,-0.31067032,-0.6420040790523801,-0.6420040790523801,1.0
810000,1.4475344,202.14,-0.35285625,-0.6886694035968002,-0.6886694035968002,1.0
820000,1.4539225,181.9433962264151,-0.3133108,-0.6826603918705346,-0.6826603918705346,1.0
830000,1.5362324,203.89361702127658,-0.31869057,-0.5208541719863812,-0.5208541719863812,1.0
840000,1.4355351,233.82222222222222,-0.30463398,-0.4229911267757416,-0.4229911267757416,1.0
850000,1.4074281,212.3409090909091,-0.25175327,-0.4900186086116835,-0.4900186086116835,1.0
860000,1.4733872,215.6086956521739,-0.23739216,-0.4436127806597568,-0.4436127806597568,1.0
870000,1.5033997,235.36363636363637,-0.29711932,-0.6031023347100546,-0.6031023347100546,1.0
880000,1.4297105,188.77777777777777,-0.2326272,-0.4338618273084814,-0.4338618273084814,1.0
890000,1.4489287,213.375,-0.28056216,-0.5897489589579562,-0.5897489589579562,1.0
900000,1.4384986,181.19230769230768,-0.1486071,-0.24508077679918364,-0.24508077679918364,1.0
910000,1.4322305,215.20833333333334,-0.20237617,-0.41355918712761935,-0.41355918712761935,1.0
920000,1.4884709,205.85106382978722,-0.27044246,-0.5383276812573696,-0.5383276812573696,1.0
930000,1.4306738,180.42857142857142,-0.23620054,-0.4626428753669773,-0.4626428753669773,1.0
940000,1.4309493,212.61702127659575,-0.2876297,-0.7229361806778197,-0.7229361806778197,1.0
950000,1.4157584,200.89795918367346,-0.21868417,-0.5763306201112514,-0.5763306201112514,1.0
960000,1.4309378,187.96296296296296,-0.25297293,-0.5264555740135687,-0.5264555740135687,1.0
970000,1.4349469,217.88888888888889,-0.24024251,-0.5529511286152734,-0.5529511286152734,1.0
980000,1.4382813,209.59574468085106,-0.24699272,-0.46428511878277395,-0.46428511878277395,1.0
990000,1.3868892,208.5625,-0.24744822,-0.5325667038559914,-0.5325667038559914,1.0
1000000,1.3119266,189.54716981132074,-0.28885415,-0.6600384778128221,-0.6600384778128221,1.0
1010000,1.3377026,163.135593220339,-0.123921946,-0.2119266743461291,-0.2119266743461291,1.0
1020000,1.3723928,183.2982456140351,-0.21102656,-0.3224105461124788,-0.3224105461124788,1.0
1030000,1.3807099,183.87037037037038,-0.16466886,-0.37607925680448423,-0.37607925680448423,1.0
1040000,1.3729932,193.54901960784315,-0.19775933,-0.34377255159265857,-0.34377255159265857,1.0
1050000,1.3955841,192.90196078431373,-0.16612709,-0.2669653743505478,-0.2669653743505478,1.0
1060000,1.3705689,187.28846153846155,-0.23197354,-0.42460000368894313,-0.42460000368894313,1.0
1070000,1.4229565,183.16666666666666,-0.08134382,-0.13163704480285998,-0.13163704480285998,1.0
1080000,1.3861241,185.87272727272727,-0.20236613,-0.36274910298260776,-0.36274910298260776,1.0
1090000,1.3873178,186.09803921568627,-0.21949731,-0.37348078133968204,-0.37348078133968204,1.0
1100000,1.3800023,172.62295081967213,-0.15434359,-0.3216533429920673,-0.3216533429920673,1.0
1110000,1.3634992,161.79310344827587,-0.16854425,-0.46943389813778763,-0.46943389813778763,1.0
1120000,1.3460948,167.72881355932202,-0.0957526,-0.2329355958154646,-0.2329355958154646,1.0
1130000,1.4149505,175.85714285714286,-0.1602636,-0.2607250123151711,-0.2607250123151711,1.0
1140000,1.3636123,194.3653846153846,-0.1791806,-0.46744707226753235,-0.46744707226753235,1.0
1150000,1.3713633,214.3404255319149,-0.118281424,-0.39423751706878346,-0.39423751706878346,1.0
1160000,1.3703992,191.92592592592592,-0.17036012,-0.498592605193456,-0.498592605193456,1.0
1170000,1.3589453,163.46666666666667,-0.10264801,-0.3001525505619534,-0.3001525505619534,1.0
1180000,1.3779166,197.26,-0.15805633,-0.28894401669502257,-0.28894401669502257,1.0
1190000,1.3679056,175.94545454545454,-0.06104759,0.03955999721180309,0.03955999721180309,1.0
1200000,1.3885583,184.92156862745097,-0.20263258,-0.4381153927399562,-0.4381153927399562,1.0
1210000,1.3510333,197.2962962962963,-0.12061838,-0.3082000160658801,-0.3082000160658801,1.0
1220000,1.3580402,172.71929824561403,0.036214545,0.1744500079325267,0.1744500079325267,1.0
1230000,1.4061526,243.075,-0.08946507,-0.3517700131982565,-0.3517700131982565,1.0
1240000,1.381352,190.35185185185185,-0.0451781,-0.049800005013292487,-0.049800005013292487,1.0
1250000,1.3176707,157.80645161290323,-0.037392993,0.024867737966199076,0.024867737966199076,1.0
