Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
60940000,0.896513,172.41071428571428,0.23725396,0.34816363128748806,0.34816363128748806,1.0
60950000,0.84390134,162.65625,0.3567256,0.547746863681823,0.547746863681823,1.0
60960000,0.84550107,198.22916666666666,0.3188172,0.5517714233422766,0.5517714233422766,1.0
60970000,0.89961857,205.28846153846155,0.30200744,0.5675882247148776,0.5675882247148776,1.0
60980000,0.8782234,152.64406779661016,0.2506613,0.27604666029413544,0.27604666029413544,1.0
60990000,0.8587929,181.93333333333334,0.32077977,0.5105599957207839,0.5105599957207839,1.0
61000000,0.88587356,161.22413793103448,0.29155225,0.4523930865628966,0.4523930865628966,1.0
61010000,0.91720444,166.1639344262295,0.244166,0.2923133169611295,0.2923133169611295,1.0
61020000,0.8650413,204.88,0.32643038,0.5876759847998619,0.5876759847998619,1.0
61030000,0.8684992,152.8125,0.32247907,0.5910781228449196,0.5910781228449196,1.0
61040000,0.87232053,179.43396226415095,0.2755883,0.5097509321739089,0.5097509321739089,1.0
61050000,0.88563174,186.8490566037736,0.33688438,0.5828222132943295,0.5828222132943295,1.0
61060000,0.8892265,189.2549019607843,0.18838474,0.2927960633647208,0.2927960633647208,1.0
61070000,0.86500865,232.68085106382978,0.13659003,0.431013029716585,0.431013029716585,1.0
61080000,0.8461852,151.015873015873,0.33922994,0.5924656137358397,0.5924656137358397,1.0
61090000,0.9026079,190.33333333333334,0.18572566,0.2830814708162237,0.2830814708162237,1.0
61100000,0.8882382,171.75925925925927,0.2659993,0.48827777251049326,0.48827777251049326,1.0
61110000,0.87032145,172.32758620689654,0.32550085,0.5080241247497755,0.5080241247497755,1.0
61120000,0.8356971,198.75471698113208,0.30181536,0.5235576792978324,0.5235576792978324,1.0
61130000,0.8867769,178.53703703703704,0.25986445,0.47952590937967654,0.47952590937967654,1.0
61140000,0.86554193,172.79310344827587,0.34837058,0.6855864312689183,0.6855864312689183,1.0
61150000,0.852306,163.327868852459,0.4174662,0.6985737583676322,0.6985737583676322,1.0
61160000,0.86342746,201.85714285714286,0.32218888,0.5057550908959642,0.5057550908959642,1.0
61170000,0.88413954,154.90625,0.30031565,0.4572920505962675,0.4572920505962675,1.0
61180000,0.8912019,178.05454545454546,0.3339352,0.6725607107260397,0.6725607107260397,1.0
61190000,0.8543331,192.29090909090908,0.34533843,0.6199074001223953,0.6199074001223953,1.0
61200000,0.8699187,156.59375,0.3261639,0.4364294932513941,0.4364294932513941,1.0
61210000,0.87649745,163.9298245614035,0.33163083,0.5371803250469145,0.5371803250469145,1.0
61220000,0.8511017,176.23728813559322,0.30892596,0.49507930309608067,0.49507930309608067,1.0
61230000,0.8932156,178.375,0.22628562,0.36374284570314447,0.36374284570314447,1.0
61240000,0.92174447,196.43636363636364,0.2816881,0.542211097975572,0.542211097975572,1.0
61250000,0.89805394,182.87272727272727,0.34443605,0.48271784984639715,0.48271784984639715,1.0
61260000,0.873495,181.35849056603774,0.38462588,0.6592769192961546,0.6592769192961546,1.0
61270000,0.8676738,185.80357142857142,0.35678136,0.5496714237545218,0.5496714237545218,1.0
61280000,0.92798483,173.52727272727273,0.33105475,0.602846426357116,0.602846426357116,1.0
61290000,0.8626594,189.22222222222223,0.32308915,0.5076925840090822,0.5076925840090822,1.0
61300000,0.8507285,144.09859154929578,0.3948064,0.5656619676401917,0.5656619676401917,1.0
61310000,0.84417504,160.21666666666667,0.36688966,0.6323733265201251,0.6323733265201251,1.0
