Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
55400000,0.34753287,105.51948051948052,0.88054436,1.4668804840608076,1.4668804840608076,1.0
55410000,0.3723746,114.4367816091954,0.95553213,1.3658046047528123,1.3658046047528123,1.0
55420000,0.39306995,117.58441558441558,0.94047046,1.451563589613546,1.451563589613546,1.0
55430000,0.3959352,126.56410256410257,0.9438981,1.3449670529063744,1.3449670529063744,1.0
55440000,0.41999996,126.27848101265823,0.9475487,1.3767589305837948,1.3767589305837948,1.0
55450000,0.39300233,131.8658536585366,0.9377525,1.375754162848714,1.375754162848714,1.0
55460000,0.370638,120.29629629629629,0.91257817,1.4174429989313777,1.4174429989313777,1.0
55470000,0.37637138,119.31764705882352,0.939937,1.448890671004043,1.448890671004043,1.0
55480000,0.36858985,117.14814814814815,0.90276855,1.451385149203333,1.451385149203333,1.0
55490000,0.3898948,117.4074074074074,0.8792409,1.3579438525002177,1.3579438525002177,1.0
55500000,0.40413934,129.27848101265823,0.9152645,1.4070461064768143,1.4070461064768143,1.0
55510000,0.41904625,118.32467532467533,0.8905451,1.4180589446272605,1.4180589446272605,1.0
55520000,0.40411827,134.0810810810811,0.9054306,1.4348629621201998,1.4348629621201998,1.0
55530000,0.38644117,129.32051282051282,0.9106687,1.4059512343926308,1.4059512343926308,1.0
55540000,0.37733057,129.425,0.8828777,1.3432674575597048,1.3432674575597048,1.0
55550000,0.41413954,130.26923076923077,0.893721,1.4061922713254507,1.4061922713254507,1.0
55560000,0.40227515,123.73809523809524,0.9452117,1.44401900022335,1.44401900022335,1.0
55570000,0.40801165,118.95,0.9282856,1.4505549599882215,1.4505549599882215,1.0
55580000,0.37472287,123.02298850574712,0.90013146,1.4168643321114025,1.4168643321114025,1.0
55590000,0.4018484,116.15,0.9077081,1.453224961948581,1.453224961948581,1.0
55600000,0.39491302,120.95061728395062,0.9313422,1.4472567472192976,1.4472567472192976,1.0
55610000,0.39082095,123.55421686746988,0.93978107,1.4152094796743422,1.4152094796743422,1.0
55620000,0.41052404,120.0,0.93457735,1.4171574542298913,1.4171574542298913,1.0
55630000,0.38089517,117.4,0.9075941,1.3913858328233748,1.3913858328233748,1.0
55640000,0.3856856,117.25925925925925,0.8907902,1.4521530425107037,1.4521530425107037,1.0
55650000,0.38355815,118.41463414634147,0.93486416,1.4506487435683972,1.4506487435683972,1.0
55660000,0.3928335,117.03571428571429,0.8895808,1.3900650249098438,1.3900650249098438,1.0
55670000,0.39259887,130.72619047619048,0.9600756,1.4082282000604798,1.4082282000604798,1.0
55680000,0.3828114,120.21428571428571,0.8994894,1.3258142516105658,1.3258142516105658,1.0
55690000,0.372363,114.51807228915662,0.93065786,1.4550761529909713,1.4550761529909713,1.0
55700000,0.3688578,121.13953488372093,0.9037535,1.4152960564408983,1.4152960564408983,1.0
55710000,0.38887486,118.44736842105263,0.87564504,1.3587246572270113,1.3587246572270113,1.0
55720000,0.38567108,118.2872340425532,0.8956368,1.4522698430052723,1.4522698430052723,1.0
55730000,0.4066079,113.61842105263158,0.88200706,1.393188327550888,1.393188327550888,1.0
55740000,0.44149902,116.8157894736842,0.8835271,1.4189183845576878,1.4189183845576878,1.0
55750000,0.39623332,131.72151898734177,0.92575634,1.437597414785171,1.437597414785171,1.0
55760000,0.4268222,126.49411764705883,0.9627938,1.4428870234857587,1.4428870234857587,1.0
55770000,0.4145456,115.89873417721519,0.8850729,1.4191619633119317,1.4191619633119317,1.0
55780000,0.38175303,125.52325581395348,0.9201847,1.4438511294334433,1.4438511294334433,1.0
55790000,0.3975905,125.1875,0.91242695,1.380012458190322,1.380012458190322,1.0
55800000,0.41243258,119.025,0.95572025,1.4504493371939953,1.4504493371939953,1.0
55810000,0.38489488,120.14285714285714,0.93576694,1.4195517610354595,1.4195517610354595,1.0
55820000,0.4024471,123.30379746835443,0.9229795,1.4116100779722762,1.4116100779722762,1.0
55830000,0.40283412,122.02597402597402,0.9124648,1.4124441061701094,1.4124441061701094,1.0
55840000,0.42762557,121.98684210526316,0.93947446,1.4472631120956259,1.4472631120956259,1.0
55850000,0.3981336,134.02439024390245,0.9238563,1.4048216430896736,1.4048216430896736,1.0
55860000,0.4077333,124.76829268292683,0.918357,1.4132121592396643,1.4132121592396643,1.0
55870000,0.40792313,120.5,0.9274389,1.4486733699995507,1.4486733699995507,1.0
55880000,0.40026793,124.92405063291139,0.90930724,1.3790874644648283,1.3790874644648283,1.0
55890000,0.37638757,120.98765432098766,0.928581,1.448271561184047,1.448271561184047,1.0
55900000,0.38635167,122.79746835443038,0.9360198,1.4463518588226052,1.4463518588226052,1.0
55910000,0.3716248,128.45348837209303,0.9416276,1.3798046652885045,1.3798046652885045,1.0
55920000,0.42002308,116.7051282051282,0.8825199,1.3864999621724472,1.3864999621724472,1.0
55930000,0.4494041,126.81012658227849,0.9448561,1.4089923672660996,1.4089923672660996,1.0
55940000,0.40018353,123.85333333333334,0.9218878,1.4117262784979845,1.4117262784979845,1.0
55950000,0.40613177,125.1358024691358,0.88195485,1.3464949584100396,1.3464949584100396,1.0
55960000,0.3657783,124.36046511627907,0.9200331,1.3848418197919463,1.3848418197919463,1.0
55970000,0.39892623,118.14102564102564,0.8814603,1.3855897096487193,1.3855897096487193,1.0
55980000,0.42575833,129.46753246753246,0.8660382,1.4063025278349717,1.4063025278349717,1.0
55990000,0.4178691,126.48809523809524,0.876285,1.3494071886841073,1.3494071886841073,1.0
56000000,0.40003332,121.14473684210526,0.90464187,1.4482103456537445,1.4482103456537445,1.0
56010000,0.38895443,121.4186046511628,0.9426709,1.447713914608886,1.447713914608886,1.0
56020000,0.36065266,125.11764705882354,0.888108,1.41341423624683,1.41341423624683,1.0
56030000,0.38109022,111.14285714285714,0.89066625,1.4276928124683244,1.4276928124683244,1.0
56040000,0.40896657,123.22222222222223,0.8976874,1.4459121493486369,1.4459121493486369,1.0
56050000,0.39745298,119.48809523809524,0.86911017,1.4498733705546283,1.4498733705546283,1.0
56060000,0.39379963,120.41025641025641,0.9147735,1.4488731251984108,1.4488731251984108,1.0
56070000,0.3791895,121.69135802469135,0.92894703,1.4454025867836255,1.4454025867836255,1.0
56080000,0.4149375,123.63414634146342,0.9434555,1.4171772362579675,1.4171772362579675,1.0
56090000,0.4103768,120.22619047619048,0.9196485,1.4161324222366531,1.4161324222366531,1.0
56100000,0.40505567,125.05194805194805,0.927953,1.38162164596549,1.38162164596549,1.0
56110000,0.42639366,117.9375,0.9326301,1.4518324533477425,1.4518324533477425,1.0
56120000,0.44068033,122.5,0.9196029,1.4463640441879249,1.4463640441879249,1.0
56130000,0.4127166,131.87951807228916,0.8808746,1.4066650151129227,1.4066650151129227,1.0
56140000,0.4092915,117.2948717948718,0.90840846,1.41864354789066,1.41864354789066,1.0
56150000,0.39770505,122.29545454545455,0.8959419,1.4174726766280152,1.4174726766280152,1.0
56160000,0.43276915,115.82894736842105,0.87615436,1.383834172040224,1.383834172040224,1.0
56170000,0.45655605,121.26666666666667,0.8603385,1.3803841849102785,1.3803841849102785,1.0
56180000,0.4432953,127.94666666666667,0.8171245,1.3360810346297316,1.3360810346297316,1.0
56190000,0.40259266,128.65,0.82280546,1.344712444767356,1.344712444767356,1.0
56200000,0.4420927,122.21917808219177,0.8818173,1.4462945604243793,1.4462945604243793,1.0
56210000,0.42743942,146.40243902439025,0.8987445,1.3912097124791727,1.3912097124791727,1.0
56220000,0.40341255,125.95,0.88375384,1.4109424533322454,1.4109424533322454,1.0
56230000,0.4266745,117.3132530120482,0.87364614,1.4203487358442166,1.4203487358442166,1.0
56240000,0.395751,120.0126582278481,0.8750815,1.4148278028904637,1.4148278028904637,1.0
56250000,0.37825754,124.02352941176471,0.8915681,1.415030545478358,1.415030545478358,1.0
56260000,0.3918997,127.1829268292683,0.8863588,1.4102462982622588,1.4102462982622588,1.0
56270000,0.42458767,117.2987012987013,0.89511395,1.4517454181301903,1.4517454181301903,1.0
56280000,0.40135652,120.46835443037975,0.8929372,1.3178151573844348,1.3178151573844348,1.0
56290000,0.38614246,137.2439024390244,0.914049,1.3493389886145184,1.3493389886145184,1.0
56300000,0.41698924,120.3170731707317,0.9174627,1.449082878304691,1.449082878304691,1.0
56310000,0.42340115,121.13253012048193,0.91155374,1.446872253150466,1.446872253150466,1.0
56320000,0.434719,127.22077922077922,0.87997496,1.3750674842627018,1.3750674842627018,1.0
